distance_m,elapsed_time_s,elevation_gain_m,mean_km_per_week,mean_training_days_per_week,gender_binary
12558.3,4053,226.0,26.820742545454547,2.3854545454545453,0.0
8863.7,2838,284.0,21.73993956043956,2.3461538461538463,0.0
6244.0,2129,66.0,33.352265263157896,3.594736842105263,1.0
31479.0,20342,2661.9,23.269285263157897,2.205263157894737,0.0
13480.4,4070,253.7,42.844456056338025,3.352112676056338,0.0
11460.8,3650,319.6,31.59922336065574,2.2991803278688523,0.0
1191.5,2742,0.0,25.65949918032787,2.819672131147541,1.0
7297.0,1985,16.1,22.89576303317536,2.3696682464454977,0.0
6280.1,2178,34.3,28.74646322580645,2.832258064516129,1.0
7896.5,2496,55.0,22.98702807017544,2.421052631578948,0.0
15144.6,3983,204.3,31.59922336065574,2.2991803278688523,0.0
2706.2,785,8.3,10.070532,1.5,0.0
7126.4,2261,50.2,23.269285263157897,2.205263157894737,0.0
8685.2,3099,106.2,38.18772439024391,3.642276422764228,0.0
10132.7,3512,355.0,21.60202677165354,1.8267716535433072,0.0
16497.5,5838,68.0,25.767520512820514,2.9786324786324787,0.0
10253.0,3272,58.4,31.798629213483142,3.0,0.0
9019.0,2600,53.9,23.269285263157897,2.205263157894737,0.0
23925.9,15328,1767.0,54.92121412429378,4.203389830508475,0.0
15022.0,4194,82.6,27.33715833333333,2.5185185185185186,0.0
8381.9,2955,154.0,25.767520512820514,2.9786324786324787,0.0
12954.0,3930,162.5,23.269285263157897,2.205263157894737,0.0
13087.0,3573,29.9,35.00285864197531,4.203703703703703,0.0
14046.1,3753,33.0,49.88999083333333,4.204166666666667,0.0
12304.5,4581,204.4,35.51523975903615,3.108433734939759,1.0
9539.6,11204,927.4,24.53331090909091,2.390909090909091,0.0
6800.3,1497,45.0,53.43195760869565,6.467391304347826,0.0
4727.8,1157,17.3,32.11783384615385,2.292307692307692,0.0
16923.6,6988,511.2,33.0503197740113,2.4293785310734464,0.0
19008.2,6003,366.1,42.844456056338025,3.352112676056338,0.0
12306.1,4589,144.0,35.51523975903615,3.108433734939759,1.0
12710.0,3805,517.0,49.11117622377622,4.65034965034965,0.0
18401.5,6735,912.1,35.00285864197531,4.203703703703703,0.0
2609.9,1066,4.0,26.86536751592357,2.738853503184713,0.0
9522.7,3498,196.5,17.082857,1.92,1.0
14509.9,4413,33.0,34.012607547169814,2.3867924528301887,0.0
12161.2,3357,22.5,32.7191614213198,2.9035532994923856,0.0
7193.5,2441,93.6,49.3882,3.730769230769231,0.0
1579.1,682,17.3,10.288255932203391,1.7457627118644068,1.0
2871.8,1078,0.0,49.3882,3.730769230769231,0.0
12425.9,3554,40.7,85.69425923913043,6.603260869565218,0.0
9994.0,3254,46.7,35.52483238434164,2.6334519572953736,0.0
10567.0,3973,34.3,20.43143297297297,2.562162162162162,1.0
13161.5,4159,205.5,35.89793122807018,3.0,1.0
804.2,408,43.0,21.73993956043956,2.3461538461538463,0.0
23130.9,6902,293.0,25.767520512820514,2.9786324786324787,0.0
12636.4,3623,132.2,31.59922336065574,2.2991803278688523,0.0
19152.7,6794,102.1,33.15076637931034,2.293103448275862,1.0
10271.0,3321,143.0,35.52483238434164,2.6334519572953736,0.0
5353.7,2134,26.9,12.064848920863309,1.6978417266187051,1.0
10245.9,3599,61.8,21.60202677165354,1.8267716535433072,0.0
11391.8,3324,134.7,26.961164383561645,2.8767123287671232,0.0
10095.0,2110,28.4,25.654456310679613,2.8640776699029127,0.0
11440.0,3120,123.8,42.844456056338025,3.352112676056338,0.0
5000.0,1800,0.0,49.11117622377622,4.65034965034965,0.0
12505.3,3784,29.2,34.08691495327103,2.7009345794392523,0.0
21199.0,6662,577.0,34.366773202614375,2.7973856209150325,0.0
10000.0,3420,0.0,35.52483238434164,2.6334519572953736,0.0
9676.5,2981,109.0,26.820742545454547,2.3854545454545453,0.0
10583.8,3496,47.0,25.65949918032787,2.819672131147541,1.0
4266.6,1346,95.2,56.77293787878788,5.303030303030303,1.0
10007.1,2517,39.0,50.56401538461538,5.307692307692308,0.0
2649.8,989,6.8,12.78407162162162,2.0945945945945947,0.0
15942.9,5523,68.0,56.77293787878788,5.303030303030303,1.0
11912.8,3369,25.0,49.88999083333333,4.204166666666667,0.0
7220.0,2430,27.2,23.269285263157897,2.205263157894737,0.0
13498.9,5177,547.0,36.79205359477124,3.117647058823529,0.0
9262.1,3165,54.0,38.574932,3.4,1.0
13439.4,3361,63.0,22.89576303317536,2.3696682464454977,0.0
8516.0,3742,600.0,25.94252777777778,2.287037037037037,0.0
9642.0,3613,55.0,31.66878714285714,3.1,0.0
6132.6,3251,346.0,26.86536751592357,2.738853503184713,0.0
9761.9,2889,29.0,56.77293787878788,5.303030303030303,1.0
10009.7,3405,50.1,37.39672716049383,3.2222222222222223,0.0
9274.9,4204,84.1,16.2522243697479,1.915966386554622,1.0
9934.2,3521,23.0,34.012607547169814,2.3867924528301887,0.0
10282.0,6646,500.0,31.66878714285714,3.1,0.0
30009.0,9318,981.0,74.60554748201439,5.532374100719425,0.0
10504.7,2838,13.0,28.338354444444445,2.3222222222222224,0.0
11012.9,4221,308.0,31.864034666666665,2.6666666666666665,0.0
11029.0,3482,47.0,54.92121412429378,4.203389830508475,0.0
18863.6,6885,244.6,21.128724242424244,2.242424242424242,0.0
11504.7,6323,37.5,35.00285864197531,4.203703703703703,0.0
13708.7,3774,30.0,49.88999083333333,4.204166666666667,0.0
16054.0,5236,84.4,27.996817535545024,2.720379146919431,0.0
7740.6,2100,27.4,24.53331090909091,2.390909090909091,0.0
6009.0,1793,86.8,23.380741666666665,1.9583333333333333,0.0
3447.7,1187,0.0,26.455639781021898,3.062043795620438,0.0
14012.5,3894,77.3,85.69425923913043,6.603260869565218,0.0
17000.0,7200,0.0,49.11117622377622,4.65034965034965,0.0
2178.9,772,1.0,53.43195760869565,6.467391304347826,0.0
9280.1,2913,203.5,24.43524147465438,2.3317972350230414,0.0
9945.1,2797,70.8,22.38862075471698,1.981132075471698,0.0
8612.3,2749,23.0,20.43143297297297,2.562162162162162,1.0
17332.3,11362,1301.0,32.520438834951456,2.495145631067961,0.0
7198.1,2338,18.0,31.864034666666665,2.6666666666666665,0.0
76551.7,48925,4582.6,21.60202677165354,1.8267716535433072,0.0
