distance_m;elapsed_time_s;elevation_gain_m;mean_km_per_week;mean_training_days_per_week;gender_binary;level
5278,4;1801;21;74,12692662;5,179856115;0;3
5277,9;1400;11;24,24953391;1,973913043;0;2
5274;1802;22;74,12692662;5,179856115;0;3
5274;3196;61;27,79998768;2,611374408;0;2
5273,6;6588;392,5;10,10237292;1,354166667;0;2
5273,4;2747;11;32,43651165;2,446601942;0;2
5273,3;2147;83;32,77798121;2,731543624;0;2
5273,1;2004;14,4;12,21489853;1,676470588;1;2
5272,8;1678;16;32,40464657;2,783393502;0;2
5272;1386;138;33,02951532;2,657657658;0;2
5272;1773;116,4;27,38660654;2,411214953;0;2
5271,4;2107;72;32,77798121;2,731543624;0;2
5271,2;3626;0;24,81411417;2,183333333;1;2
5271;2060;1;49,80321538;4,923076923;0;2
5269,8;1842;43,8;27,79998768;2,611374408;0;2
5269,7;1675;16;32,40464657;2,783393502;0;2
