distance_m;elapsed_time_s;elevation_gain_m;mean_km_per_week;mean_training_days_per_week;gender_binary;level
5003,6;1334;89;52,1345837;5,75;0;3
5003,5;1243;11;52,1345837;5,75;0;3
5003,5;1674;11,6;12,21489853;1,676470588;1;2
5003,4;1050;0;52,1345837;5,75;0;3
5003,3;1876;11,6;12,21489853;1,676470588;1;2
5003,2;1801;14;24,24953391;1,973913043;0;2
5003,2;2421;6;49,83286849;3,903361345;0;3
5003,1;3673;212;26,15680562;2,404494382;0;2
5003;1739;0;26,15680562;2,404494382;0;2
5002,9;1399;35;52,1345837;5,75;0;3
5002,8;1571;0;52,1345837;5,75;0;3
5002,7;2049;0;32,79745989;2,962566845;1;2
5002,7;2076;25,9;55,17231143;3,96;0;3
5002,6;1207;11,8;35,55126737;2,78245614;1;3
5002,6;2151;45,4;25,80203762;2,732673267;0;2
5002,6;2441;63;49,11819406;3,559440559;0;3
5002,4;1009;17;49,83286849;3,903361345;0;3
5002,3;1642;14;56,81350076;5,114503817;1;3
5002,3;1642;14;56,81350076;5,114503817;1;3
5002,3;1678;0;26,15680562;2,404494382;0;2
5002,1;1326;93;52,1345837;5,75;0;3
5001,7;2091;11;55,17231143;3,96;0;3
5001,6;1447;13,6;29,28912177;2,306122449;0;2
5001,6;3738;38;56,81350076;5,114503817;1;3
5001,6;3738;38;56,81350076;5,114503817;1;3
5001,4;1515;19;52,1345837;5,75;0;3
5001,2;1682;57;27,38660654;2,411214953;0;2
5001,2;1762;19,3;12,75184186;1,88372093;1;1
5001,1;2019;27;10,91062093;1,534883721;1;2
5001;1623;263;42,81280479;3,323943662;0;3
5001;1804;28,4;39,94094043;3,468085106;1;3
5000,5;1779;47,3;30,0347156;2,770642202;1;2
5000,4;1740;11,6;12,21489853;1,676470588;1;2
5000,4;1879;42;15,65447328;1,948275862;1;2
5000,2;1236;25,8;35,01329236;3,649681529;0;3
5000;1200;0;48,46767133;4,251748252;0;3
5000;1370;13;21,61906646;2,012658228;0;2
5000;1471;0;35,55126737;2,78245614;1;3
5000;1500;0;11,19782444;1,6;0;2
5000;1800;0;20,18033043;2,277173913;1;2
5000;1800;0;32,79745989;2,962566845;1;2
5000;1800;0;48,46767133;4,251748252;0;3
5000;1800;0;39,94094043;3,468085106;1;3
5000;1835;0;37,90207398;3,520325203;0;2
5000;2220;100;21,61906646;2,012658228;0;2
5000;2640;100;55,17231143;3,96;0;3
5000;3600;0;22,99254251;2,173913043;0;2
5000;6600;0;33,02951532;2,657657658;0;2
4999,6;1372;30,9;30,0347156;2,770642202;1;2
4999,5;1425;55,8;30,0347156;2,770642202;1;2
4999,5;1438;0;52,1345837;5,75;0;3
4999,5;1825;11,7;12,21489853;1,676470588;1;2
4999,1;4994;281;32,43651165;2,446601942;0;2
4999;1315;13;15,43187159;1,869318182;0;2
4999;1757;92;31,77827246;2,920289855;0;2
4998,4;1427;8;15,43187159;1,869318182;0;2
4998;1717;3,1;31,65486517;2,876404494;0;2
4997,9;1777;17,9;20,18033043;2,277173913;1;2
4997,4;1815;43,2;31,77827246;2,920289855;0;2
4997;3081;46,4;33,02951532;2,657657658;0;2
4996,4;1701;55;12,75184186;1,88372093;1;1
4996,2;1708;18,7;13,65746667;1,587301587;0;2
4995,3;2081;141;74,12692662;5,179856115;0;3
4995;1779;175;32,40464657;2,783393502;0;2
4994;1580;41;15,38307037;1,888888889;1;2
4993,8;1224;32,5;35,55126737;2,78245614;1;3
4993;1657;21;32,40464657;2,783393502;0;2
4992,2;2058;0;9,779634615;1,5;0;1
4991;1089;14;74,12692662;5,179856115;0;3
4990,4;1727;10;26,47819712;2,49201278;0;2
4989,8;1602;36;35,55126737;2,78245614;1;3
4989;1722;5;32,40464657;2,783393502;0;2
4988,7;1531;0;49,83286849;3,903361345;0;3
4988,5;1404;68;35,55126737;2,78245614;1;3
4988,4;1176;45;25,77178523;2,488636364;0;2
4988;1748;6,3;35,42519715;2,544483986;0;2
4987,6;1166;12;28,21866111;2,272222222;0;2
4986,5;1801;22,3;35,805175;3,048780488;1;3
4985,6;1794;41;11,19782444;1,6;0;2
4985,1;1039;78,1;52,1345837;5,75;0;3
4985;1519;39;25,59271481;2,101851852;0;2
4985;1854;56;25,96158194;2,656387665;0;2
4985;1887;17,2;27,79998768;2,611374408;0;2
4984,1;1544;0;32,79745989;2,962566845;1;2
4983,3;1253;44;15,43187159;1,869318182;0;2
4982,5;1108;35,4;32,91861949;2,861538462;0;3
4981,9;1046;13;49,83286849;3,903361345;0;3
4980,3;1358;20,3;21,61906646;2,012658228;0;2
4980,3;2213;16,5;15,65447328;1,948275862;1;2
